id,display,community,num_conv,mean_depth_branches,mean_length_msgs,likesCom,likesOther,totalLikesCom,totalLikesOther,badWords,totalUpper,totalData,debatesCom,depthDebatesCom,debatesOther,dephDebatesOther,totalStartedConvs,totalStartedConvs,topicCreator,totalUsersComInteraction,totalUsersOtherInteraction
1302,sargentodiaz,1,0.4437012263099219,0.08714664808762201,0.13866412467578532,0.49373433583959897,0.14536340852130325,0.7758620689655172,0.09650639916983743,0.03508771929824561,0.17293233082706766,0.46365914786967416,0.020050125313283207,0.2908554769962805,0.010025062656641603,0.2777777777777778,0.6693766937669376,0.032388663967611336,0.6190476190476191,0.18518518518518517,0.16666666666666663
311,JustPassinThru,1,0.34448160535117056,0.36709803674010477,0.1364920225959769,0.4032258064516129,0.10967741935483871,0.75,0.12867519889311657,0.09032258064516129,0.012903225806451613,0.22580645161290322,0.13870967741935483,0.7846172748494902,0.03870967741935484,0.7089201877934271,0.018970189701897018,0.2857142857142857,0.02258064516129032,0.6296296296296297,0.6666666666666665
2451,Eighty,1,0.012263099219620958,0.14964572508266416,0.1657669396872673,0.5833333333333334,0.0,0.21551724137931033,0.03216879972327914,0.08333333333333333,0.0,0.6666666666666666,0.16666666666666666,0.2589998771347832,0.0,0.0,0.0027100271002710027,1.0,0.08333333333333333,0.05555555555555555,0.0
941,Crunch,1,0.4615384615384615,0.09368580494654327,0.08952669235002751,0.46987951807228917,0.18072289156626506,0.8879310344827586,0.19301279833967486,0.04578313253012048,0.13734939759036144,0.5975903614457831,0.163855421686747,0.26076396298523674,0.02891566265060241,0.2564102564102564,1.0,0.1842818428184282,0.8891566265060241,0.7592592592592592,0.5555555555555555
3979,Julia,1,0.004459308807134894,0.1041095890410959,0.11661392405063291,0.8,0.2,0.15517241379310345,0.03216879972327914,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0027100271002710027,0.0,0.2,0.0,0.0
1262,Garden,1,0.3366778149386845,0.09311363885123475,0.4737192851824274,0.7062706270627063,0.18811881188118812,0.8189655172413793,0.06433759944655829,0.04950495049504951,0.0891089108910891,0.5610561056105611,0.0462046204620462,0.25595281975672685,0.0033003300330033004,0.40277777777777773,0.6612466124661247,0.05327868852459016,0.8052805280528053,0.2962962962962963,0.055555555555555546
36,patrickt,1,0.4894091415830546,0.18242318801412094,0.10726320713290184,0.33636363636363636,0.12045454545454545,0.6896551724137931,0.22518159806295399,0.015909090909090907,0.0,0.19772727272727272,0.05,0.25635026202342986,0.02727272727272727,0.24038461538461536,0.08943089430894309,0.18181818181818182,0.075,0.3148148148148148,0.611111111111111
37,Coolwalker,1,0.7146042363433668,0.1359224077592241,0.1773176027200852,0.5202492211838006,0.2118380062305296,0.8706896551724137,0.19301279833967486,0.04361370716510903,0.01557632398753894,0.30062305295950154,0.06542056074766354,0.2495539992628087,0.010903426791277258,0.23214285714285712,0.5420054200542005,0.095,0.3115264797507788,0.537037037037037,0.33333333333333326
2536,goodpen,1,0.2764771460423634,0.07859827970691302,0.10217292706056981,0.5140562248995983,0.18072289156626506,0.5948275862068966,0.09650639916983743,0.008032128514056224,0.0,0.21686746987951808,0.0,0.0,0.0,0.0,0.051490514905149054,0.0,0.07630522088353414,0.0,0.0
3691,What,1,0.10144927536231883,0.13033268101761253,0.06540438365474471,0.5,0.1956521739130435,0.45689655172413796,0.06433759944655829,0.0,0.010869565217391304,0.2717391304347826,0.021739130434782608,0.22852930335422042,0.06521739130434782,0.3208333333333333,0.024390243902439025,0.1111111111111111,0.09782608695652174,0.037037037037037035,0.27777777777777773
2435,mrclose,1,0.007803790412486064,0.09752193319993846,0.11919831223628691,0.75,0.375,0.25,0.03216879972327914,0.0,0.125,0.25,0.125,0.2742351640250645,0.0,0.0,0.016260162601626015,0.16666666666666666,0.75,0.037037037037037035,0.0
87,Libhater,1,0.14938684503901897,0.1811960837300185,0.082963852975022,0.6222222222222222,0.2740740740740741,0.6465517241379309,0.06433759944655829,0.022222222222222223,0.022222222222222223,0.2814814814814815,0.07407407407407407,0.38564319941024694,0.014814814814814815,0.6083333333333333,0.2140921409214092,0.11392405063291139,0.5851851851851851,0.16666666666666666,0.11111111111111109
1604,Montana,1,0.057971014492753624,0.24622009311838955,0.02510391082561874,0.6792452830188679,0.18867924528301888,0.4051724137931034,0.12867519889311657,0.0,0.09433962264150944,0.07547169811320754,0.03773584905660377,0.25138223368964246,0.0,0.0,0.06504065040650406,0.08333333333333333,0.4528301886792453,0.037037037037037035,0.0
807,Kurmugeon,1,0.36008918617614266,0.19467781318544886,0.13405709325096402,0.3950617283950617,0.1419753086419753,0.7155172413793103,0.12867519889311657,0.030864197530864196,0.0,0.3765432098765432,0.08333333333333333,0.3290821968300774,0.018518518518518517,0.3055555555555555,0.02710027100271003,0.5,0.030864197530864196,0.4814814814814814,0.33333333333333326
1766,Rebel,1,0.03901895206243033,0.09821397607074739,0.038409810126582275,0.5277777777777778,0.1111111111111111,0.25,0.06433759944655829,0.0,0.19444444444444445,0.19444444444444445,0.0,0.0,0.0,0.0,0.008130081300813007,0.0,0.08333333333333333,0.0,0.0
3709,Ray9,1,0.041248606465997775,0.16569863013698627,0.445547795722392,0.631578947368421,0.2894736842105263,0.4827586206896552,0.06433759944655829,0.05263157894736842,0.02631578947368421,0.6842105263157895,0.05263157894736842,0.20567637301879838,0.0,0.0,0.0975609756097561,0.05555555555555555,0.9473684210526315,0.037037037037037035,0.0
